pl_name,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,st_lum,hab
Kepler-254 b,3.87,14.3,1.36,1013,0.064,0,5957,0.849,0.91,-0.12491,0
Kepler-257 c,5.41,25.2,0.875,881,0.066,0,5180,0.916,1.037,-0.37756,0
Kepler-174 c,1.49,2.83,4.7,377,0.214,0,4880,0.602,0.622,-0.5704,0
Kepler-192 c,2.79,8.2,2.07,623,0.15,0,5479,1.028,1.007,-0.09429,0
Kepler-169 b,1.13,1.51,5.75,962,0.04,0,4997,0.825,0.763,-0.49611,0
Kepler-169 f,2.58,7.18,2.3,321,0.359,0,4997,0.825,0.763,-0.49611,0
Kepler-218 c,3.14,10,1.77,500,0.248,0,5502,1.019,1.063,0.00935,0
Kepler-106 c,2.5,10.44,3.28,785,0.10987,0,5858,1,1.04,0.08255,0
Kepler-94 c,12.5,3126,8.79,,1.596806621,0.345931,4781,0.81,0.76,-0.61348,0
Kepler-93 c,,954,,,,,5669,0.91,0.92,-0.10565,0
Kepler-171 d,1.89,4.23,3.44,497,0.223,0,5642,0.978,0.839,-0.07917,0
Kepler-174 d,2.19,5.43,2.84,212,0.677,0,4880,0.602,0.622,-0.5704,0
Kepler-347 c,1.75,3.71,3.8,705,0.183,0,6088,0.922,1.005,0.34232,0
Kepler-348 c,1.33,2.33,5.44,888,0.138,0,6177,1.189,1.359,0.4331,0
Kepler-193 b,2.39,6.3,2.54,979,0.106,0,6335,1.051,1.147,0.09956,0
Kepler-97 c,,344,,,,,5779,0.94,0.98,-0.02505,0
Kepler-191 b,1.34,2.36,5.39,722,0.087,0,5282,0.857,0.789,-0.4145,0
Kepler-1778 b,3.01665969,9.36,1.87,942,0.0956,0,6310,1.143,1.095,0.0978,0
Kepler-217 c,1.85,4.08,3.54,1208,0.089,0,6171,1.342,1.799,0.75356,0
Kepler-208 e,1.48,2.79,4.73,880,0.132,0,6092,1.082,1.314,0.30912,0
Kepler-636 b,4.45,18.1,1.13,614,0.1185,0,5203,0.85,0.8,-0.374,0
KIC 8540376 c,2.4,6.35,2.52,,,,6474,1.04,1.26,0.2987,0
KIC 10525077 b,5.5,25.9,0.855,,,,6091,1.01,1.01,0.12899,0
XO-5 b,12.78,378.2,1.06,1230,0.0515,0,5430,1.04,1.13,-0.06,0
HD 130322 b,13.7,365.49,0.781,720,0.0925,0.029,5387,0.92,0.85,-0.23544,0
K2-15 b,2.48,6.71,2.42,676,0.091,,5131,0.72,0.68,-0.45314,0
K2-17 b,2.23,5.6,2.77,487,0.119,0.18,4320,0.71,0.66,-0.9966,0
KIC 9663113 b,4.6,19.2,1.08,264,1.55346,0,6065,0.98,1.03,0.7919,0
HD 32963 b,13.4,657.9048025,1.5,,3.41,0.07,5727,0.94,1.111044,0.06398,0
Kepler-1392 b,1.96,4.5,3.28,714,0.1189,0,5479,0.88,0.85,-0.231,0
HD 50554 b,12.8,1859.296181,4.87,,2.353,0.501,5987,1.04,1.02,0.143,0
GJ 3341 b,2.46,6.6,2.44,,0.089,0.31,3526,0.47,0.439,-1.538,0
WASP-20 b,16.388,98.841,0.132,1379,0.06,0,5940,1.2,1.392,0.338,0
Kepler-447 b,18.49,435.41,0.4,882,0.0769,0.123,5493,1,1.05,-0.19007,0
HAT-P-1 b,14.784671,166.86075,0.282,1322,0.05561,0,5980,1.151,1.174,0.22463,0
