pl_name,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,st_lum,hab
Kepler-1417 b,1,0.972,5.34,695,0.14062,0,5839,1.02,1.02,0.39458,0
Kepler-139 b,2.94,7,2.169438,752,0.127,0,5594,1.078,1.3,0.01598,0
Kepler-1272 b,2.37,6.21,2.56,542,0.2705,0,5926,1.06,1.09,0.37031,0
Kepler-159 b,2.38,6.26,2.55,447,0.082,0,4625,0.628,0.663,-0.75443,0
GJ 229 b,3.97,14.93793513,1.31,,1.086,0.404,3564,0.509,0.46,-1.55284,0
Kepler-397 c,6.18,31.6,0.736,295,0.48,0,5307,0.844,0.767,-0.376,0
Kepler-122 e,2.6,27.7,8.66,618,0.227,0,6050,0.982,1.216,0.26993,0
HD 49674 b,6.2,31.783,0.733,,0.06,0.09,5602,1.03,1.02,-0.02162,0
Kepler-1154 b,2.34,6.08,2.61,1314,0.0631,0,6327,1.26,1.43,0.45174,0
55 Cnc c,8.51,54.4738,0.486,,0.2373,0.03,5172,0.905,0.943,-0.19695,0
Kepler-1719 b,3.95000623,14.8,1.32,1287,0.06868,0,5687,1.08,1.775,0.52557,0
TOI-1806.01,3.4095367,11.5,1.59,337.47,0.087735044,,3272,0.392935,0.401575,-1.77852,0
Kepler-221 d,2.73,3.61,0.9,712,0.087,0,5243,0.854,0.821,-0.40429,0
Kepler-204 c,1.79,3.86,3.7,683,0.173,0,5812,1.038,1.238,0.02981,0
HIP 65407 c,13.9,249.17872,0.51,,0.316,0.12,5460,0.93,0.952252,-0.18603,0
TOI-201 c,11.13051784,4513.163379,19.2,,4.28,0.643,6394,1.316,1.339,0.41497,0
Kepler-221 e,2.63,7.86706,0.57,582,0.13,0,5243,0.854,0.821,-0.40429,0
Kepler-258 c,3.61,12.7,1.48,470,0.193,0,4942,0.82,0.915,-0.57541,0
Kepler-1266 b,2.58,7.18,2.3,489,0.16431,0,5044,0.8,0.76,-0.52996,0
HIP 81208 C b,12.3,4703.860424,13.9,2050,23.04,,,0.135,,,0
HD 216520 c,3.03,9.44,1.86,,0.528,0.12,5103,0.82,0.76,-0.452,0
HD 206893 b,14.01122587,8899.195396,17.8,1429.2,9.6,0.14,6500,1.32,1.31116,0.4561,0
Kepler-333 c,1.11,1.41,5.67,386,0.135,0,4259,0.601,0.534,-0.92812,0
Kepler-1751 b,1.82417378,3.98,3.6,984,0.0712,0,6052,0.974,0.967,0.03608,0
Kepler-191 d,2.28,5.82,2.7,857,0.06104,0,5215,0.84,0.8,-0.4145,0
Kepler-1881 b,2.98104391,9.17,1.9,289,0.53325,0,5135,0.812,0.874,-0.3067,0
Kepler-293 c,3.83,14,1.37,466,0.286,0,5804,0.934,0.957,-0.23265,0
Kepler-136 c,1.99,4.62,3.22,847,0.133,0,6165,1.204,1.355,0.46678,0
Kepler-203 b,2.57,7.13,2.31,1308,0.043,0,5821,1.06,1.114,0.0937,0
HD 143105 b,13.7,384.5743,0.822,,0.0379,0.07,6380,1.51,1.647304,0.55557,0
WASP-91 b,11.54527,425.8922,1.59,1160,0.037,0,4920,0.84,0.86,-0.3827,0
Kepler-791 b,3.05,9.53,1.85,939,0.1256,0,6383,1.3,1.47,0.40273,0
Kepler-403 c,1.75,3.71,3.8,604,0.297,0,6090,1.299,1.329,0.64405,0
HD 170469 b,14.1,209.7678,0.411,,2.24,0.11,5842,1.1,1.24,0.204,0
TOI-4914 b,12.87,227,0.59,894,0.098,0.408,5805,1.03,1,0.00903,0
Kepler-347 b,1.97,4.54,3.26,908,0.11,0,6088,0.922,1.005,0.34232,0
Kepler-704 b,2.61,7.32,2.26,1121,0.047,0,5616,0.97,0.96,0.03582,0
HD 104067 c,3.69,13.2,1.44,,0.1058,0.29,4952,0.82,0.78,-0.51256,0
Kepler-871 b,3.74,13.5,1.42,640,0.1572,0,5993,1.11,1.14,0.30895,0
Kepler-1992 b,0.91,0.693,5.05,637,0.1169,0,5383,0.874,0.842,-0.00858,0
Kepler-237 c,2.08,4.98,3.04,687,0.071,0,4861,0.696,0.725,-0.47742,0
Kepler-1830 b,3.32992941,11.1,1.65,681,0.31769,0,6160,1.443,2.046,0.63129,0
K2-270 c,2.95,9.01,1.93,848,0.0497,,4877,0.85,0.77,-0.51819,0
Kepler-550 b,4.42,17.9,1.14,760,0.0747,0,5322,0.87,0.83,-0.38383,0
Kepler-604 b,2.59,7.22,2.28,637,0.1735,0,5890,1.02,1.03,0.09179,0
LHS 1678 c,0.941,1.4,10.6,510.9,0.0327,0.039,3490,0.345,0.329,-1.83863,0
K2-18 b,2.37,8.92,4.11,284,0.1429,0.2,3457,0.359,0.411,-1.59688,0
Kepler-1278 b,1.01,1.01,5.39,1213,0.04417,0,6074,1.11,1.16,0.36593,0
Kepler-1142 b,1.47,2.76,4.77,902,0.1343,0,5685,0.97,0.96,0.43724,0
Kepler-327 c,1.03,20.3,102,537,0.047,0,3799,0.591913,0.492,-1.25964,0
WASP-60 b,9.86392,174.8065,0.378,1479,0.05548,0,5900,1.19,1.17,0.34748,0
GJ 1252 b,1.193,1.32,4.2,1089,0.00915,0,3458,0.381,0.391,-1.70774,0
Kepler-113 b,1.82,11.7,10.73,775,0.05123,0,4725,0.75,0.69,-0.57598,0
Kepler-1605 b,1.08,1.28,5.58,528,0.36567,0,5280,0.86,0.82,0.42869,0
Kepler-1060 b,2.38,6.26,2.55,484,0.2495,0,5797,0.99,0.99,0.07184,0
HD 10180 c,3.68,13.1,1.44,,0.06412,0.073,5911,1.06,1.109,0.17319,0
HD 3167 d,1.92,4.33,3.36,859.5,0.0763,0.12,5261,0.837,0.88,-0.27003,0
Kepler-349 b,1.9,94.5,75.7,972,0.065,0,5956,1.083,0.927,-0.0073,0
Kepler-722 b,2.63,7.41,2.24,1182,0.0514,0,5863,1.03,1.05,-0.03923,0
Kepler-1912 b,1.35670508,2.41,5.3,976,0.06489,0,5734,0.977,0.962,-0.04936,0
Kepler-1717 b,2.98929758,9.21,1.89,780,0.2014,0,6200,1.158,1.64,0.59298,0
Kepler-735 b,2.95,9.01,1.93,657,0.0965,0,5107,0.85,0.8,-0.51697,0
HD 25463 b,2.54535814,8.7,2.87,1198.46,0.076,0,6353,1.251,1.4182,0.47276,0
Kepler-446 d,1.35,2.39,5.34,436,0.0403,0,3359,0.22,0.24,-2.24766,0
KMT-2017-BLG-1003L b,2.13,5.19,2.95,,1.38,,,0.32,,,0
K2-352 b,1.37,2.45,5.24,1160,,,5791,0.98,0.95,-0.06326,0
Kepler-859 b,3.09,9.75,1.82,528,0.13157,0,5020,0.81,0.77,-0.55638,0
Kepler-1129 c,2.73,7.9,2.13,503,0.35367,0,5831,1,1,-0.0274,0
GJ 251 b,1.83,4,3.59,351,0.0818,0.1,3451,0.36,0.364,-1.77211,0
Kepler-1067 b,0.8,0.437,4.69,1872,0.0164,0,5592,0.95,0.93,-0.14725,0
Kepler-1356 b,1.53,2.96,4.54,1714,0.0136,0,5106,0.82,0.78,-0.4863,0
Kepler-889 b,1.09,1.32,5.6,1328,0.04975,0,5961,1.14,1.25,0.38344,0
Kepler-1905 b,1.4460734,2.69,4.89,1212,0.0451,0,5788,1.038,1.015,-0.02528,0
HD 39855 b,2.85,8.5,2.02,,0.041,0.14,5576,0.87,0.744665,-0.31625,0
Kepler-198 c,2.47,6.66,2.43,465,0.259,0,5574,0.995,0.94,-0.1089,0
Barnard b,0.72,0.299,4.4,438,0.0229,0.03,3195,0.162,0.185,-2.44977,0
GJ 3082 b,2.79,8.2,2.07,,0.079,0.22,3910,0.47,0.465216,-1.46273,0
GJ 896 A b,13.3,718.2921998,1.68,,0.63965,0.35,3345,0.43599,0.394682,-1.75523,0
Kepler-1792 b,2.51990972,6.89,2.37,1047,0.0488,0,5229,0.878,1.005,-0.50826,0
TOI-201 b,11.82547464,184.3404761,0.654,759,0.3026,0.318,6394,1.316,1.339,0.41497,0
NGTS-5 b,12.733424,72.78307,0.194,952,0.0382,0,4987,0.661,0.739,-0.51087,0
Kepler-127 d,2.64,7.46,2.23,590,0.28,0.03,6106,1.248,1.359,0.40651,0
Kepler-83 b,2.83,2.94,0.83,460,0.07295,0,4082,0.66,0.61,-1.10237,0
Kepler-2000 b,2.73,7.9,2.13,530,0.0562,0,3757,0.581,0.576,-1.05272,0
KMT-2017-BLG-0673L b,13,1166.430254,2.92,,2.34,,,0.63,,,0
K2-133 c,1.603,3.2,4.27,,0.04341,,3655,0.461,0.455,-1.47886,0
Kepler-275 c,3.38,11.4,1.62,875,0.132,0,6165,1.189,1.383,0.44934,0
K2-158 c,1.28,2.18,5.71,948,0.0622,,5503,0.92,0.95,-0.16298,0
Kepler-1594 b,1.06,1.2,5.54,1360,0.0396,0,5946,1.06,1.08,-0.00032,0
Kepler-1379 b,1.3,2.24,5.6,1564,0.0171,0,5188,0.83,0.79,-0.40329,0
Kepler-1718 b,2.5685207,7.12,2.31,345,0.48418,0,5731,0.846,0.906,-0.0399,0
Kepler-153 b,2.92,8.85,1.95,621,0.129,0,5404,0.756,0.892,-0.4463,0
Kepler-122 b,2.34,6.08,2.61,1159,0.064,0,6050,0.982,1.216,0.26993,0
Kepler-359 c,4.3,2.9,0.1,512,0.307,0,6248,0.827,1.086,-0.09657,0
Kepler-235 c,1.28,2.18,5.71,555,0.065,0,4255,0.581,0.554,-1.10237,0
K2-354 b,1.56,3.05,4.41,543,,,3669,0.43,0.41,-1.6137,0
WASP-138 b,12.21781,387.7526,1.2,1590,0.0494,,6272,1.22,1.36,0.43503,0
Kepler-1129 b,2.96,9.06,1.92,737,0.16481,0,5831,1,1,-0.0274,0
K2-71 b,2.15,5.27,2.91,,0.0559,,4006,0.477,0.426,-1.51871,0
Kepler-1049 b,0.95,0.809,5.18,625,0.0349,0,3864,0.51,0.49,-1.13956,0
TOI-6695 c,13.6,460.8511902,1.01,415,0.838,0.022,6400,1.338,1.517,0.54033,0
HD 192310 b,4.27,16.9,1.19,355,0.32,0.13,5166,0.8,0.857922,-0.41454,0
K2-166 b,2.19,5.43,2.84,1140,0.0858,,5960,1.16,1.61,0.45848,0
Kepler-1612 b,1.03,1.08,5.43,1030,0.0482,0,5643,0.96,0.94,-0.18821,0
Kepler-1054 b,2.63,7.41,2.24,1177,0.05542,0,6209,1.22,1.34,0.36867,0
Kepler-157 c,2.24,5.65,2.76,779,0.11,0,5774,0.95,1.044,0.09117,0
Kepler-256 d,2.48,6.71,2.42,1097,0.064,0,5551,1.037,1.301,-0.0591,0
K2-251 b,2.35,6.12,2.59,437,0.0694,,3717,0.52,0.49,-1.34211,0
TIC 279401253 c,12.6,2548.983824,7,,0.591,0.254,5951,1.13,1.06,0.09691,0
Kepler-1263 b,1.14,1.55,5.75,907,0.0499,0,5213,0.84,0.8,-0.41402,0
HD 155193 b,14,238.3713053,0.477,,1.04,0.21,6239,1.221,1.76439,0.6411,0
HIP 67522 c,7.93595834,48.3,0.531,917,0.1228,0.077,5675,1.22,1.38,0.24304,0
Kepler-555 b,2.83,8.4,2.04,664,0.1201,0,5894,1.03,1.04,0.26392,0
Kepler-302 c,12.45,,,392,0.503,0,5740,1.021,1.22,0.04949,0
Kepler-354 d,1.24,2.07,5.97,451,0.146,0,4648,0.652,0.674,-0.71394,0
Kepler-1342 b,1.66,3.39,4.07,1283,0.0313,0,5527,0.93,0.9,-0.26092,0
HD 18015 b,13.1,1048.833743,2.56,,3.87,0.148,5603,1.49,3.13,0.9738,0
Kepler-297 c,6.54,42.1,0.827,409,0.336,0,5619,0.927,0.915,-0.09608,0
Kepler-164 d,2.45,6.57,2.45,637,0.187,0,5888,1.036,1.148,0.11291,0
tau Cet h,1.19,1.83,5.97,,0.243,0.23,5310,0.783,0.83,-0.30539,0
Kepler-201 b,2.46,6.62,2.44,683,0.175,0,6065,1.098,1.229,0.34816,0
OGLE-2013-BLG-1761L b,13.2,860,2.05,,1.8,,,0.33,,,0
EPIC 212737443 c,2.69,7.7,2.17,316,0.28,0.2,4684,0.69,0.673,-0.75057,0
Kepler-178 d,3.95,14.8,1.32,392,0.397,0,5676,0.852,1.066,-0.20778,0
Kepler-199 c,3.25,10.6,1.7,420,0.316,0,5644,0.96,0.967,-0.09685,0
Kepler-990 c,1.53,2.96,4.54,2386,0.01232,0,5948,1.05,1.08,-0.05003,0
Kepler-272 d,2.25,5.69,2.74,777,0.091,0,5297,0.91,0.929,0.06634,0
Kepler-814 b,2.12,5.14,2.96,1164,0.0695,0,6162,1.15,1.22,0.66937,0
Kepler-1802 c,2.322,6,2.63,357,0.1748,0,4245,0.649,0.637,-0.925,0
Kepler-1175 b,2.99,9.22,1.9,515,0.2181,0,5453,0.9,0.86,-0.3398,0
Kepler-898 b,1.49,2.83,4.7,616,0.0545,0,4223,0.65,0.62,-0.87506,0
K2-95 b,3.31,11,1.67,474,0.0525,0.16,3566,0.41,0.4,-1.63451,0
Kepler-53 d,2.12,37.1907,1.4,870,0.091,0,6085,0.966,0.958,0.03558,0
Kepler-409 b,1.199,6,19,438,0.3192,0.69,5421,0.913,0.897,-0.20201,0
Kepler-913 c,3.8580709,14.2,1.36,1357,0.0699,0,6068,1.294,1.797,-0.28163,0
Kepler-884 b,1.23,2.04,6.02,964,0.06116,0,5715,1,0.94,-0.31335,0
HATS-48 A b,8.9672,77.23269,0.589,954.6,0.03769,0.162,4546,0.7279,0.7152,-0.70885,0
HAT-P-44 b,13.922,111.871,0.23,1108,0.0507,0.044,5295,0.942,0.949,-0.194,0
TOI-1634 c,,,,,,0,3472,0.451,0.45,-1.5784,0
HATS-42 b,15.6926,597.5204,0.83,1856,0.03689,0.229,6060,1.273,1.48,0.42488,0
Kepler-238 c,2.39,152.522,3.2,1146,0.069,0,5751,1.229,1.43,0.43048,0
Kepler-238 b,1.73,3305.02,526,1642,0.034,0,5751,1.229,1.43,0.43048,0
Kepler-278 b,4.07,15.6,1.27,836,0.207,0.04,4991,1.414,2.935,0.61972,0
Kepler-1089 b,1.83,4.01,3.6,584,0.0497,0,3753,0.52,0.49,-1.29726,0
Kepler-1907 b,0.86973029,0.589,4.92,856,0.05444,0,5159,0.752,0.8,-0.62479,0
TOI-260 b,1.71,4.23,4.66,493,0.0943,0,4026,0.616,0.607,-1.05899,0
Kepler-1920 b,2.95415848,9.03,1.92,660,0.2043,0,6277,1.239,1.161,0.10034,0
TOI-559 b,12.22899794,1910.148726,5.74,1180,0.0723,0.151,5925,1.026,1.233,0.22737,0
HD 30669 b,14.3,149.37,0.281,,2.69,0.18,5400,0.92,0.91,-0.14602,0
TOI-1174 b,2.562,32,11,713.83,0.07994,0,5030,0.85,0.76,-0.4034,0
WASP-66 b,15.6926,746.9005,1.144,1569.7,0.0546,0,6600,1.33,1.76,0.63724,0
Kepler-275 b,2.34,6.08,2.61,1015,0.098,0,6165,1.189,1.383,0.44934,0
Kepler-9 b,8.29,43.4,0.42,661,0.143,0.0609,5774,1.022,0.958,-0.038,0
AB Pic b,12.3,4290.5,12.7,,260,,5285,0.9,0.999394,-0.22631,0
HIP 65426 b,16.8135,2860.47,3.31,1500,92,,8840,1.96,1.77,1.26895,0
K2-45 b,6.71,36.4,0.662,1073.56,0.0224,0.1,4103,0.503,0.445,-0.73994,0
OGLE-2012-BLG-0406L b,13.2,868,2.07,,3.45,,,0.44,,,0
HD 96700 b,2.93,8.9,1.94,,0.0777,0.138,5845,0.89,1.16,0.13988,0
POTS-1 b,10.548,734.16,3.44,,0.03734,,4400,0.695,0.588,-1.0869,0
WASP-186 b,12.44199,1341.2426,3.821,1378.4,0.06,0.33,6361,1.22,1.47,0.50022,0
WASP-173 A b,13.4508,1172.7927,2.84,1880,0.0248,0,5800,1.05,1.11,0.08279,0
Kepler-2000 c,1.57,3.09,4.39,359,0.1228,0,3757,0.581,0.576,-1.05272,0
Kepler-279 b,3.62,4180.93,165,1104,0.112,0,6363,1.2,1.746,0.5188,0
75 Cet c,13.9,289.8595072,0.593,,3.929,0.023,4809,1.92,10.38,1.7145,0
Kepler-1966 b,1.10479327,1.39,5.66,733,0.0763,0,5009,0.797,0.84,-0.56655,0
Kepler-113 c,2.18,8.7,0.308247,628,0.07796,0,4725,0.75,0.69,-0.57598,0
HATS-64 b,18.819911,305.1168,0.245,1793,0.06562,0.151,6554,1.564,2.113,0.86747,0
Kepler-1314 b,5.11,22.9,0.943,625,0.0504,0,4188,0.6,0.59,-1.89109,0
Kepler-1932 b,1.51482218,2.91,4.6,1891,0.0123,0,5278,0.911,0.815,-0.35191,0
HD 90156 b,4.43,17.98,1.14,,0.25,0.31,5599,0.84,0.920286,-0.14267,0
TOI-6008 b,1.03,4,,707,0.010777,,3075,0.23,0.242,-2.32873,0
Kepler-856 b,9.3,63.3,0.432,824,0.0787,0,5535,0.96,0.93,-0.02166,0
NGTS-3 A b,16.58932,756.4354,0.31,1434.44,0.023,,5600,1.017,0.93,-0.144,0
TOI-1601 b,14.19902343,387,0.74,1493.97,0.069,0,5982,1.5055,2.195,0.74772,0
Kepler-666 b,2.4,6.35,2.52,1133,0.0542,0,5887,1.03,1.05,0.18164,0
Kepler-30 b,3.9,11.3,1.02,524,0.18,0.042,5498,0.99,0.95,-0.23658,0
Kepler-388 b,0.81,0.457,4.73,830,0.036,0,4498,0.635,0.586,-0.43932,0
HD 212771 b,13.3,759.6137,1.77,,1.19,0.076,5003,1.56,5.27,1.18752,0
Kepler-1216 b,1.39,2.51,5.14,1191,0.0519,0,5743,0.99,0.98,0.0729,0
HD 147018 c,12.7,2080,5.58,,1.922,0.133,5441,0.927,0.937948,-0.14757,0
Kepler-55 c,2.21,69.8,35.5,349,0.2095,0,4362,0.62,0.58,-0.76324,0
Kepler-1754 b,2.43996509,6.53,2.47,672,0.0718,0,4723,0.734,0.747,-0.61192,0
TIC 4672985 b,11.5004142,4049.133905,14.6,517.2,0.33,0.018,5757,1.01,1.15,0.11394,0
Kepler-1387 b,0.93,0.749,5.12,1123,0.031,0,5046,0.82,0.77,-0.56045,0
KMT-2018-BLG-1988L b,2.22,5.56,2.79,,3.09,,,0.47,,,0
Kepler-416 c,2.352,6.13,2.59,791,0.10454,0,5718,1,1.075,0.02791,0
Kepler-394 b,1.6,3.19,4.28,1035,0.083,0,6402,0.87,1.132,0.05347,0
Kepler-608 b,3.64,12.9,1.47,1069,0.0685,0,5820,1,1.01,0.04113,0
Kepler-842 b,1.6,3.19,4.28,1252,0.0204,0,4848,0.78,0.73,-0.61238,0
Kepler-185 c,2.02,4.74,3.16,530,0.139,0,5208,0.763,0.806,-0.50448,0
HD 86081 b,13.6,470.3884,1.03,,0.0346,0.0119,5939,1.21,1.46,0.38,0
Kepler-714 b,9.67,67.6,0.411,986,0.0832,0,5995,1.09,1.12,0.4599,0
HD 81817 c,12,7185.782454,22.9,,2.325,0.095,4140,4.3,83.8,3.26076,0
Kepler-1199 b,1.15,1.6,5.78,931,0.11309,0,5889,0.94,1.17,0.18707,0
Kepler-1322 c,2.15492527,5.29,2.9,883,0.0652,0,5704,0.897,0.804,-0.10053,0
Kepler-268 c,3.38,11.4,1.62,471,0.391,0,6081,1.109,1.274,0.31808,0
K2-217 b,3.57854073,12.5,1.5,,,,5967,1.102661,1.333718,0.23239,0
Kepler-1254 b,1.55,3.02,4.46,660,0.0833,0,4985,0.78,0.75,-0.57202,0
HAT-P-44 c,13,1271.3,3.18,,1.752,0.494,5295,0.942,0.949,-0.194,0
Kepler-1389 b,1.77,3.78,3.75,300,0.38249,0,5078,0.81,0.74,-0.53422,0
Kepler-167 c,1.674,3.44,4.03,771,0.0684,0,4884,0.777,0.749,-0.5391,0
Kepler-764 b,1.64,3.33,4.15,875,0.0724,0,5557,0.92,0.89,-0.13604,0
HATS-53 b,15.02006,189.10885,0.303,1312,0.04753,0.33,5644,0.964,1.101,0.04532,0
Kepler-11 b,1.8,1.9,1.72,849,0.091,0.045,5663,0.961,1.065,0.1202,0
Kepler-30 d,8.8,23.1,0.19,308,0.5,0.022,5498,0.99,0.95,-0.23658,0
WASP-43 b,10.424,565.714,2.939,1426.7,0.0142,0,4400,0.58,0.6,-0.82509,0
Kepler-511 b,6.35,33.1,0.71,332,0.85672,0,5770,1,1.2,0.49754,0
Kepler-1286 b,2.15,5.27,2.91,888,0.0991,0,5753,1,0.98,0.12822,0
OGLE-2017-BLG-0482L b,2.95,9,1.93,,1.8,,,0.2,,,0
Kepler-611 b,1.65,3.36,4.11,1513,0.0351,0,5761,1.01,1.01,0.38338,0
Kepler-1088 b,1.42,2.6,4.99,667,0.16163,0,5975,1.08,1.08,0.09007,0
HD 204313 c,4.31,17.16273398,1.18,,0.211,0.059,5767,1.03,1.1,0.09981,0
Kepler-11 g,3.33,25,4,376,0.466,0.15,5663,0.961,1.065,0.1202,0
HATS-8 b,9.785457,43.86054,0.259,1324,0.04667,0.376,5679,1.056,1.086,-0.0252,0
GJ 9827 c,1.13,1.86,7.142,715.94,0.0395,0,4236,0.62,0.58,-1.00436,0
Kepler-1681 b,2.55321772,7.05,2.33,442,0.32,0,5756.4,0.893,0.759,-0.2933,0
Kepler-11 c,2.87,2.9,0.66,786,0.107,0.026,5663,0.961,1.065,0.1202,0
Kepler-66 b,2.8,8.25,2.07,699,0.1352,0,5962,1.038,0.966,0.05113,0
HD 150706 b,13.3,772.323029,1.8,,6.7,0.38,5961,1.17,0.96,0.03175,0
Kepler-1646 b,1.23,2.04,6.02,365,0.0295,0,3299,0.24,0.26,-1.77984,0
Kepler-59 c,1.98,3.81,1.62,752,0.13114,0,6074,1.04,0.94,0.32374,0
Kepler-354 c,1.31,2.27,5.55,508,0.115,0,4648,0.652,0.674,-0.71394,0
Kepler-305 c,3.3,6,0.917,728,0.07568,0,5080,0.76,0.8,-0.42318,0
Kepler-1981 b,9.23,62.5,0.437,390,1.3292,0,5874,1.519,3.006,0.24356,0
HD 222076 b,13.5,495.8148,1.11,,1.83,0.08,4806,1.07,4.1,0.92942,0
Kepler-703 b,8.2,51.1,0.509,1038,0.0535,0,6185,1.18,1.27,0.06672,0
Kepler-11 d,3.12,7.3,1.28,653,0.155,0.004,5663,0.961,1.065,0.1202,0
Kepler-11 e,4.19,8,0.58,582,0.195,0.012,5663,0.961,1.065,0.1202,0
Barnard e,0.637,0.193,4.1,340,0.0381,0.04,3195,0.162,0.185,-2.44977,0
HD 235088 b,1.982,4.15,2.922216,805,0.0706,0,5075,0.849,0.772,-0.4437,0
Kepler-54 c,1.23,0.7,2.376368,395,0.0809,0,3705,0.51,0.5,-1.30103,0
Kepler-59 b,1.1,4.1,8.7,864,0.09943,0,6074,1.04,0.94,0.32374,0
Kepler-635 b,2.64,7.46,2.23,802,0.18332,0,6174,1.33,1.51,0.73514,0
WASP-22 b,13.78707,212.9461,0.444,1502,0.047,0.02,6000,1.46,1.24,0.245,0
Kepler-1474 b,2.16,5.31,2.9,561,0.2108,0,5870,1.04,1.04,0.0291,0
Kepler-485 b,14.41,,,1243,0.04401,0,5958,1.07,1.09,0.07908,0
2MASS J02192210-3925225 b,16.14096,4417.837,5.77,,156,,3064,0.108,0.281,-2.23,0
Kepler-30 c,12.3,640,1.88,411,0.3,0.0111,5498,0.99,0.95,-0.23658,0
WASP-52 b,14.24,146.2,0.29,1315,0.0272,0,5000,0.87,0.79,-0.35366,0
Kepler-1614 b,1.49,2.83,4.7,981,0.0471,0,5121,0.79,0.76,-0.27096,0
Kepler-879 b,2.57,7.13,2.31,580,0.2012,0,5792,1.02,1.02,0.0334,0
Kepler-1641 b,3.11,9.85,1.8,908,0.1473,0,6152,1.12,1.19,0.13083,0
Kepler-419 b,10.8,794.5,3.5,613,0.37,0.833,6430,1.39,1.74,0.7268,0
Kepler-419 c,12.6,2320.1,6.37,,1.68,0.184,6430,1.39,1.74,0.7268,0
Kepler-1388 c,2.26,5.73,2.73,566,0.0519,0,4098,0.63,0.61,-1.1068,0
TOI-784 b,1.93,9.67,7.4,1256,0.038,0,5558,0.91,0.907,-0.19034,0
bet Pic c,12.5,3222.462219,9.07,,2.68,0.314,8038.68,1.795,1.54416,0.95282,0
Kepler-32 b,2.2,1303,0.46,514,0.05,0,3900,0.58,0.53,-1.29243,0
KOI-94 e,6.56,35,0.6,584,0.3046,0.019,6182,1.277,1.52,0.479,0
Kepler-1350 b,2.52,6.9,2.37,535,0.0413,0,3827,0.55,0.53,-1.2834,0
Kepler-44 b,12.22,317.82,0.93,1544,0.0446,0.066,5800,1.12,1.35,0.34743,0
HD 93385 c,2.56,7.1,2.33,,0.112,0.2,5977,1.04,1.18484,0.20683,0
Kepler-610 c,3.3,10.9,1.67,318,0.5594,0,5943,1.1,1.13,-0.11034,0
Kepler-290 d,0.86,0.566,4.89,1589,0.0154,0,5142,0.84,0.755,-0.58591,0
TIC 365102760 b,6.21,19.2,0.437,,0.0622,0.406,4900,1.17,3.13,0.707,0
Kepler-1388 b,2.59,7.22,2.28,434,0.0882,0,4098,0.63,0.61,-1.1068,0
HD 5891 b,12.6,2425.0429,6.66,,0.64,0.07,4673,1.93,10.64,1.5955,0
TOI-1448 b,2.749,19.5,9.51,426,0.0567,0.36,3412,0.372,0.38,-1.75498,0
Kepler-654 b,2.07,4.94,3.06,831,0.11664,0,5865,1.04,1.11,0.4622,0
KOI-351 g,8.1,15,0.272128,342,0.71,0.049,6080,1.2,1.2,0.26853,0
Kepler-277 c,3.36,64.2,7.8,778,0.21781,0,5946,1.12,1.69,0.56791,0
Kepler-1203 b,1.06,1.2,5.54,1188,0.0114,0,4105,0.64,0.61,-0.85362,0
Kepler-1501 b,1.56,3.05,4.41,787,0.11592,0,6229,1.2,1.3,0.20231,0
KMT-2021-BLG-0192L b,6.56,34.96112477,0.681,,1.62,,,0.27,,,0
Kepler-1850 b,0.72909663,0.313,4.44,1008,0.0206,0,4239,0.611,0.6,-0.81005,0
Kepler-1789 b,2.83137505,8.4,2.03,380,0.3543,0,5436,0.92,0.888,-0.23129,0
Kepler-140 c,1.8,3.89,3.67,428,0.414,0,6077,1.044,1.288,0.25061,0
Kepler-106 b,0.82,5.3,,1021,0.06491,0,5858,1,1.04,0.08255,0
TOI-4406 b,11.2089807,95.3485221,0.372,904,0.201,0.15,6219,1.19,1.29,0.36173,0
HD 154672 b,12.8,1706.7471,4.47,,0.6,0.61,5743,1.18,1.32,0.25722,0
Kepler-584 b,4.21,16.5,1.22,664,0.2281,0,6195,1.17,1.24,0.52004,0
K2-397 b,2.417,6.42,2.5,,,,5387,0.937,0.966,-0.14497,0
Kepler-1082 b,1.12,1.46,5.71,1827,0.02571,0,5923,1.03,1.14,0.3142,0
Kepler-1672 b,2.97022762,9.11,1.91,423,0.55374,0,6131.95,1.16,1.08841,0.17867,0
Kepler-618 b,2.6,7.27,2.27,1296,0.0449,0,5860,1.05,1.08,0.1732,0
Kepler-322 b,1.01,1.01,5.39,1373,0.027,0,5388,0.908,0.89,-0.28786,0
TOI-262 b,2.07,4.94,3.06,584,0.163,,5310,0.913,0.853,-0.28987,0
Kepler-1072 b,1.58,3.12,4.35,1849,0.02742,0,6199,1.2,1.32,0.36531,0
HD 68402 b,12.6,2510.844415,6.9,,2.18,0.03,5950,1.12,1.02,0.06819,0
Kepler-1161 b,2.13,5.18,2.95,485,0.0784,0,4253,0.59,0.57,-0.65314,0
Kepler-1777 b,2.13189678,5.19,2.94,819,0.10301,0,5771,0.984,1.068,-0.03321,0
Kepler-1991 c,2.57,7.13,2.31,634,0.1528,0,5478,0.914,1.053,-0.1085,0
rho CrB c,5.78,28.2,0.802,448.1,0.4206,0.096,5817,0.95,1.34,0.26007,0
Kepler-310 d,2.47,7,3.3,353,0.392,0,5797,0.854,0.876,-0.23934,0
UCAC4 328-061594 b,12.1,6674.396547,20.7,,19000,,,1.19,,,0
